NATIONS TRUST BANK PLC		NATIONS TRUST BANK PLC			https://raw.githubusercontent.com/kasun898/crm_data/main/ntb.png					110000		123	3432	Washington	30000	Executive	1700	2004 Charade Rd	98199	US	United States of America	2	Americas
DAVID PIERIS GROUP	NATIONS TRUST BANK PLC	DAVID PIERIS GROUP			https://raw.githubusercontent.com/kasun898/crm_data/main/davidp.jfif	SKING	515.123.4567	2003-07-16T19:00:00.000Z	AD_PRES	24000		45	20080	Washington	40000	Executive	1700	2004 Charade Rd	98199	US	United States of America	2	Americas
DP GROUP	NATIONS TRUST BANK PLC	DP GROUP			https://raw.githubusercontent.com/kasun898/crm_data/main/dp.jfif	NKOCHHAR	515.123.4568	2005-10-20T20:00:00.000Z	AD_VP	17000		78	15000	Washington	30000	Executive	1700	2004 Charade Rd	98199	US	United States of America	2	Americas
DAVID PIERIS HOLDINGS (PRIVATE) LIMITED	DAVID PIERIS GROUP	DAVID PIERIS HOLDINGS (PRIVATE) LIMITED	50219640	Parent	https://raw.githubusercontent.com/kasun898/crm_data/main/davidp.jfif	LDEHAAN	515.123.4569	2001-02-12T20:00:00.000Z	AD_VP	17000		-11	15000	Washington	30000	Executive	1700	2004 Charade Rd	98199	US	United States of America	2	Americas
HAYLEYS PLC	DP GROUP	HAYLEYS PLC	51039588	Parent	https://raw.githubusercontent.com/kasun898/crm_data/main/hayles.jfif	AHUNOLD	590.423.4567	2006-02-02T20:00:00.000Z	IT_PROG	9000		65	4000	Texas	10000	IT	1400	2014 Jabberwocky Rd	26192	US	United States of America	2	Americas
VALLIBEL ONE PLC	DP GROUP	VALLIBEL ONE PLC	51037932	Parent	https://raw.githubusercontent.com/kasun898/crm_data/main/vallibelone.png	BERNST	590.423.4568	2007-06-20T20:00:00.000Z	IT_PROG	6000		-26	4000	Texas	10000	IT	1400	2014 Jabberwocky Rd	26192	US	United States of America	2	Americas
DAVID PIERIS MOTOR COMPANY (LANKA) LTD	DAVID PIERIS HOLDINGS (PRIVATE) LIMITED	DAVID PIERIS MOTOR COMPANY (LANKA) LTD	50525319	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/dpmc.jpg	DAUSTIN	590.423.4569	2005-07-24T20:00:00.000Z	IT_PROG	4800		55	4000	Texas	10000	IT	1400	2014 Jabberwocky Rd	26192	US	United States of America	2	Americas
ASSETLINE LEASING COMPANY LIMITED	DAVID PIERIS HOLDINGS (PRIVATE) LIMITED	ASSETLINE LEASING COMPANY LIMITED	50887562	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/assetline.png	VPATABAL	590.423.4560	2006-03-04T20:00:00.000Z	IT_PROG	4800		8	4000	Texas	10000	IT	1400	2014 Jabberwocky Rd	26192	US	United States of America	2	Americas
SINGER ( SRI LANKA ) PLC	HAYLEYS PLC	SINGER ( SRI LANKA ) PLC	50100909	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/singer.jpg	DFAVIET	515.124.4169	2002-09-15T19:00:00.000Z	FI_ACCOUNT	9000		5	4200	Washington	9000	Finance	1700	2004 Charade Rd	98199	US	United States of America	2	Americas
ALUMEX PLC	HAYLEYS PLC	ALUMEX PLC	51026653	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/Alumex_logo.jpg	ISCIARRA	515.124.4369	2005-10-29T20:00:00.000Z	FI_ACCOUNT	7700		7	4200	Washington	9000	Finance	1700	2004 Charade Rd	98199	US	United States of America	2	Americas
HAYLEYS FABRIC PLC	HAYLEYS PLC	HAYLEYS FABRIC PLC	51035760	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/haylesfabric.png	JMURMAN	515.124.4469	2006-04-06T20:00:00.000Z	FI_ACCOUNT	7800		56	4200	Washington	9000	Finance	1700	2004 Charade Rd	98199	US	United States of America	2	Americas
HAYCARB PLC	HAYLEYS PLC	HAYCARB PLC	50688593	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/heycard.png	LPOPP	515.124.4567	2008-01-06T20:00:00.000Z	FI_ACCOUNT	6900		-22	4200	Washington	9000	Finance	1700	2004 Charade Rd	98199	US	United States of America	2	Americas
DIPPED PRODUCTS PLC	HAYLEYS PLC	DIPPED PRODUCTS PLC	51002208	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/dpl.png	MWEISS	650.123.1234	2004-08-17T20:00:00.000Z	ST_MAN	8000		8	5500	California	8500	Shipping	1500	2011 Interiors Blvd	99236	US	United States of America	2	Americas
NAWALOKA HOSPITALS PLC	HAYLEYS PLC	NAWALOKA HOSPITALS PLC	51026299	Associate	https://raw.githubusercontent.com/kasun898/crm_data/main/nawaloka.jpg	AFRIPP	650.123.2234	2005-05-09T20:00:00.000Z	ST_MAN	8200		11	5500	California	8500	Shipping	1500	2011 Interiors Blvd	99236	US	United States of America	2	Americas
ROYAL CERAMICS LANKA PLC	VALLIBEL ONE PLC	VALLIBEL ONE PLC	51034969	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/Rocel-logo-3.jpg	PKAUFLIN	650.123.3234	2003-05-31T19:00:00.000Z	ST_MAN	7900		9	5500	California	8500	Shipping	1500	2011 Interiors Blvd	99236	US	United States of America	2	Americas
LANKA WALLTILES PLC	ROYAL CERAMICS LANKA PLC	LANKA WALLTILES PLC	51042980	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/lwl.jfif	SVOLLMAN	650.123.4234	2005-11-09T20:00:00.000Z	ST_MAN	6500		12	5500	California	8500	Shipping	1500	2011 Interiors Blvd	99236	US	United States of America	2	Americas
LANKA TILES PLC	LANKA WALLTILES PLC	LANKA TILES PLC	50437947	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/Lanka_Tiles_logo.jpg	KMOURGOS	650.123.5234	2007-12-15T20:00:00.000Z	ST_MAN	5800		4	5500	California	8500	Shipping	1500	2011 Interiors Blvd	99236	US	United States of America	2	Americas
SWISSTEK ALUMINIUM LIMITED	LANKA TILES PLC	SWISSTEK ALUMINIUM LIMITED	51033226	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/swiss.png	JNAYER	650.124.1214	2005-08-15T20:00:00.000Z	ST_CLERK	3200		2	2008	California	5000	Shipping	1500	2011 Interiors Blvd	99236	US	United States of America	2	Americas
SINGER FINANCE (LANKA ) PLC	SINGER ( SRI LANKA ) PLC	SINGER FINANCE (LANKA ) PLC	50623506	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/sfin.png	IMIKKILI	650.124.1224	2006-10-27T20:00:00.000Z	ST_CLERK	2700		5	2008	California	5000	Shipping	1500	2011 Interiors Blvd	99236	US	United States of America	2	Americas
SINGER (SRI LANKA) PLC - FACTORY	SINGER ( SRI LANKA ) PLC	SINGER (SRI LANKA) PLC - FACTORY	50223818	Subsidiary	https://raw.githubusercontent.com/kasun898/crm_data/main/singer.jpg	JLANDRY	650.124.1334	2007-02-13T20:00:00.000Z	ST_CLERK	2400		18	2008	California	5000	Shipping	1500	2011 Interiors Blvd	99236	US	United States of America	2	Americas
