id,parentId,name,lastName,position,image,email,phone_number,hire_date,job_id,salary,commission_pct,department_id,job_min_salary,location_state,job_max_salary,department_name,department_location_id,department_location_street_address,department_location_postal_code,department_location_country_id,department_location_country_name,department_location_country_region_id,department_location_country_region_name
NATIONS TRUST BANK PLC,,NATIONS TRUST BANK PLC,,,https://raw.githubusercontent.com/kasun898/crm_data/main/ntb.png,,,,,110000,,123,3432,Washington,30000,Executive,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
John Keells Holdings,NATIONS TRUST BANK PLC,John Keells Holdings,,,https://raw.githubusercontent.com/kasun898/crm_data/main/John-Keells-Holdings-PLC-600px-logo.png,SKING,515.123.4567,2003-07-16T19:00:00.000Z,AD_PRES,24000,,45,20080,Washington,40000,Executive,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
John Keells PLC,John Keells Holdings,John Keells PLC,51012759,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,NKOCHHAR,515.123.4568,2005-10-20T20:00:00.000Z,AD_VP,17000,,78,15000,Washington,30000,Executive,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
John Keells Warehousing (Pvt) Ltd,John Keells PLC,John Keells Warehousing (Pvt) Ltd,10209459,Parent,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,LDEHAAN,515.123.4569,2001-02-12T20:00:00.000Z,AD_VP,17000,,-11,15000,Washington,30000,Executive,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
Keells Realtors Ltd,John Keells PLC,Keells Realtors Ltd,10208177,Parent,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,AHUNOLD,590.423.4567,2006-02-02T20:00:00.000Z,IT_PROG,9000,,65,4000,Texas,10000,IT,1400,2014 Jabberwocky Rd,26192,US,United States of America,2,Americas
Keells Food Product PLC,John Keells PLC,Keells Food Product PLC,10206750,Parent,https://raw.githubusercontent.com/kasun898/crm_data/main/keels.png,BERNST,590.423.4568,2007-06-20T20:00:00.000Z,IT_PROG,6000,,-26,4000,Texas,10000,IT,1400,2014 Jabberwocky Rd,26192,US,United States of America,2,Americas
John Keells Stock Brokers (Pvt) Ltd,John Keells PLC,John Keells Stock Brokers (Pvt) Ltd,10206684,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,DAUSTIN,590.423.4569,2005-07-24T20:00:00.000Z,IT_PROG,4800,,55,4000,Texas,10000,IT,1400,2014 Jabberwocky Rd,26192,US,United States of America,2,Americas
John Keells Foods India (Pvt) Ltd,Keells Food Product PLC,John Keells Foods India (Pvt) Ltd,10206492,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,VPATABAL,590.423.4560,2006-03-04T20:00:00.000Z,IT_PROG,4800,,8,4000,Texas,10000,IT,1400,2014 Jabberwocky Rd,26192,US,United States of America,2,Americas
John Keells Hotels PLC,John Keells Holdings,John Keells Hotels PLC,10204996,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,DFAVIET,515.124.4169,2002-09-15T19:00:00.000Z,FI_ACCOUNT,9000,,5,4200,Washington,9000,Finance,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
Trinco Holiday Resorts (Pvt) Ltd,John Keells Hotels PLC,Trinco Holiday Resorts (Pvt) Ltd,10204767,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,ISCIARRA,515.124.4369,2005-10-29T20:00:00.000Z,FI_ACCOUNT,7700,,7,4200,Washington,9000,Finance,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
